KaiinID,AuctionID
621,853314
621,2301234
621,3283998
621,2373838
621,61176
621,1230408
621,2892353
621,3308122
621,3601845
621,3894282
621,3147898
621,2427962
621,2915491
621,3045035
621,4009653
621,1793169
621,2145119
621,1827960
621,2525956
621,1424002
811,1348529
811,415008
811,670036
811,3137103
811,2095245
811,2582632
811,2285261
811,1069031
811,2598755
811,606256
811,63798
811,581143
811,1476851
811,2238298
811,2888770
811,2751906
811,3740355
811,3172195
811,739547
811,661269
1717,952807
1717,1424975
1717,1510142
1717,1686637
1717,2156769
1717,3687443
1717,3382119
1717,544432
1717,2790683
1717,183666
1717,264249
1717,729527
1717,741114
1717,793287
1717,1682758
1717,2125821
1717,2711347
1717,3059086
1717,3449858
1717,542988
1769,1501757
1769,3581638
1769,1695798
1769,3032198
1769,245801
1769,632333
1769,2846468
1769,2645602
1769,885147
1769,3735914
1769,1850682
1769,2502655
1769,2638384
1769,1333584
1769,2138256
1769,1451228
1769,3017684
1769,529672
1769,1049143
1769,939218
1885,2231324
1885,2672191
1885,3479150
1885,472597
1885,1198399
1885,1416003
1885,2277968
1885,2371045
1885,728928
1885,2804605
1885,814997
1885,1388945
1885,3600895
1885,3288357
1885,75835
1885,1862887
1885,3721690
1885,254462
1885,1570768
1885,2751330
2853,1425718
2853,2341319
2853,1713374
2853,1050150
2853,314092
2853,1768741
2853,2249612
2853,1861572
2853,3628228
2853,2590289
2853,1049899
2853,965733
2853,1851989
2853,488601
2853,3063519
2853,2965304
2853,1387144
2853,3630639
2853,1376994
2853,1063929
4392,32603
4392,245360
4392,994228
4392,1364919
4392,2876600
4392,3273210
4392,3554002
4392,3654093
4392,4020821
4392,191272
4392,437903
4392,763744
4392,1470956
4392,2363260
4392,2804538
4392,3162844
4392,1849023
4392,3381667
4392,726176
4392,1113005
5161,3039281
5161,2175874
5161,2369154
5161,957148
5161,397372
5161,1482585
5161,379349
5161,521198
5161,476224
5161,719431
5161,3019887
5161,4006589
5161,365027
5161,2014676
5161,194554
5161,2198935
5161,3922596
5161,4052838
5161,3183647
5161,1573203
5867,2767486
5867,644892
5867,1499059
5867,2504443
5867,958371
5867,955155
5867,993366
5867,2122711
5867,93189
5867,595632
5867,3563594
5867,1557828
5867,75337
5867,2863072
5867,3379833
5867,3571243
5867,3830529
5867,2101067
5867,926908
5867,1945900
7173,565303
7173,2975035
7173,1165995
7173,2377440
7173,1708660
7173,2444504
7173,574869
7173,3376689
7173,564232
7173,3252476
7173,263008
7173,1730170
7173,2630560
7173,2353398
7173,1584787
7173,649397
7173,2913222
7173,593104
7173,438703
7173,83650
7194,1135267
7194,2371311
7194,3150181
7194,143240
7194,605817
7194,2696686
7194,3421927
7194,2255423
7194,2857782
7194,2905549
7194,3339331
7194,4075279
7194,525374
7194,1369133
7194,24515
7194,1834441
7194,2329426
7194,3643377
7194,2602906
7194,198678
7317,1479
7317,1992699
7317,2859553
7317,3246641
7317,638303
7317,1748822
7317,4011887
7317,1694951
7317,3869247
7317,3915659
7317,325572
7317,497564
7317,760658
7317,3394478
7317,718848
7317,356724
7317,2659641
7317,291315
7317,1175441
7317,2932712
7508,813701
7508,2706303
7508,1455765
7508,3999242
7508,884876
7508,4076129
7508,632194
7508,1342148
7508,814670
7508,1914899
7508,1627673
7508,3362579
7508,2732396
7508,3843191
7508,3227672
7508,2690080
7508,1433119
7508,874896
7508,3201784
7508,3361240
8080,3970888
8080,1704791
8080,3539104
8080,2262444
8080,541697
8080,358484
8080,108532
8080,2472452
8080,2352724
8080,1062906
8080,2968263
8080,3642674
8080,3926267
8080,2455920
8080,1375867
8080,3433403
8080,3885371
8080,368350
8080,1815385
8080,1136629
9527,2412421
9527,3382642
9527,3080606
9527,245841
9527,333208
9527,418290
9527,482598
9527,736490
9527,1303836
9527,1428973
9527,1562035
9527,1854002
9527,1931906
9527,2062998
9527,2270508
9527,2375653
9527,2603566
9527,3588632
9527,4103568
9527,2915911
10004,850928
10004,2191150
10004,2714222
10004,2909831
10004,3922174
10004,129541
10004,1171029
10004,1538911
10004,3799106
10004,2184182
10004,148681
10004,1419199
10004,31282
10004,962864
10004,1567032
10004,626208
10004,843829
10004,1037835
10004,2464928
10004,2716332
10370,2728544
10370,4055135
10370,1494610
10370,1887410
10370,2952941
10370,2418219
10370,2469741
10370,527975
10370,116249
10370,2133825
10370,696570
10370,140328
10370,417918
10370,2461192
10370,1840163
10370,104183
10370,3494903
10370,2516700
10370,718513
10370,510781
10878,2767486
10878,2715426
10878,3233869
10878,1992717
10878,3066452
10878,2972567
10878,4017148
10878,1517968
10878,2128820
10878,2226786
10878,1405393
10878,510275
10878,769383
10878,2510516
10878,3259130
10878,1528034
10878,1034112
10878,3001415
10878,2237039
10878,609219
11891,4150
11891,3846282
11891,3596023
11891,3129154
11891,3100405
11891,2145879
11891,3465500
11891,2742108
11891,2487617
11891,777658
11891,2305081
11891,89132
11891,582911
11891,475462
11891,1006097
11891,1629307
11891,551154
11891,2290830
11891,1686724
11891,3113984
12864,1828477
12864,1201386
12864,3703839
